사업명,사업대분류,사업세부분류,자치구,면적,위치,용도지역(기존),용도지역(변경),용적률,건폐율,층수(지상/지하),높이,공급세대,분양,임대,임대비율,유형,권역,추진단계,추진일시,자료기준일,시 담당부서,시 연락처,구 담당부서,구 연락처
북가좌동 74-107 일대,정비사업,신속통합기획,서대문구,"26,163 ㎡",북가좌동 74-107 일대,-,-,,,,,,,,,신속통합기획,서북권,대상지선정(추진중),2025.02.27,2025.05.31,서울특별시 주거정비과,2133-7236,서대문구 홍제지구활성화추진단,330-1694
북아현2,정비사업,재개발(주택정비형),서대문구,"122,776.1 ㎡",북아현동 520,"제2종(7층),제2종(12층),준주거","제2종(7층),제2종(12층),준주거",260.2%,21.68%,5/29,89.25,"2,332세대","1,931",401,17.2%,재개발(주택정비형),서북권,사업시행인가,2022.03.17,2025.05.31,서울특별시 재정비촉진과,2133-7224,서대문구 주거정비과,330-8793
북아현3,정비사업,재개발(주택정비형),서대문구,"272,481.8 ㎡",북아현동 3-66,"제1종,제2종(7층),제2종(12층),제3종일반,준주거","제1종,제2종(7층),제2종(12층),제3종일반,준주거",251.11%,17.42%,6/32,101.95,"4,776세대","3,964",812,17%,재개발(주택정비형),서북권,사업시행인가,2011.09.01,2025.05.31,서울특별시 재정비촉진과,2133-7224,서대문구 주거정비과,330-8793
불광5,정비사업,재개발(주택정비형),은평구,"95,042 ㎡",불광동 238,"제1종,제2종(7층),제2종,제3종일반","제1종,제2종(7층),제2종,제3종일반",236%,19.6%,3/24,-,"2,387세대","2,013",374,15.67%,재개발(주택정비형),서북권,관리처분계획인가,2021.09.23,2025.05.31,서울특별시 주거정비과,2133-9383,은평구 정비사업신속추진단,351-7463
불광8,정비사업,재개발(주택정비형),은평구,"13,145 ㎡",불광동 600 일대,"제2종(7층),제2종일반,준주거","제2종(7층),준주거",250%,60%,25층이하,80,341세대,280,61,17.89%,재개발(주택정비형),서북권,구역지정,2024.10.17,2025.05.31,서울특별시 주거정비과,2133-9383,은평구 정비사업신속추진단,351-7463
불광동 359-1,정비사업,신속통합기획,은평구,"104,783 ㎡",불광동 359-1 일대,-,-,,,,,,,,,신속통합기획,서북권,대상지선정(추진중),2025.02.27,2025.05.31,서울특별시 신속통합기획과,2133-8343,은평구 정비사업신속추진단,351-7463
불광동 600 일대,정비사업,신속통합기획,은평구,"13,004 ㎡",불광동 600 일대,-,-,,,,,,,,,신속통합기획,서북권,기획완료,2023.06.16,2025.05.31,서울특별시 신속통합기획과,2133-1694,은평구 정비사업신속추진단,351-7463
불광미성,정비사업,신속통합기획,은평구,"60,720 ㎡",불광동 248,-,-,,,,,,,,,신속통합기획,서북권,대상지선정(추진중),2023.11.30,2025.05.31,서울특별시 공동주택과,2133-7148,은평구 정비사업신속추진단,351-7472
사근동 293 일대,정비사업,신속통합기획,성동구,"28,165 ㎡",사근동 293 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2023.12.28,2025.05.31,서울특별시 신속통합기획과,2133-1694,성동구 주거정비과,2286-6577
사당동 288일대,정비사업,신속통합기획,동작구,"26,402.5 ㎡",사당동 288일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2025.01.17,2025.05.31,서울특별시 신속통합기획과,2133-1870,동작구 도시정비1과,820-9816
사당동 305-35 일대,정비사업,신속통합기획,동작구,"41,316 ㎡",사당동 305-35 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2025.02.27,2025.05.31,서울특별시 신속통합기획과,2133-1692,동작구 도시정비1과,820-9816
사당동 63-1 일대,정비사업,신속통합기획,동작구,"41,275.5 ㎡",사당동 63-1 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2024.10.21,2025.05.31,서울특별시 신속통합기획과,2133-1686,동작구 도시정비1과,820-1137
산새마을,정비사업,신속통합기획,은평구,"50,394 ㎡",신사동 237 일대,-,-,,,,,,,,,신속통합기획,서북권,기획완료,2024.08.29,2025.05.31,서울특별시 주거정비과,2133-7189,은평구 정비사업신속추진단,351-7462
산호아파트,정비사업,재건축(공동),용산구,"21,117.3 ㎡",원효로4가 118-16,제3종일반,제3종일반,280%,25.98%,3/35,109,647세대,574,73,11.28%,재건축(공동),도심권,사업시행인가,2024.03.29,2025.05.31,서울특별시 공동주택과,2133-7283,용산구 주택과,2199-7363
삼선5,정비사업,재개발(주택정비형),성북구,"48,086.8 ㎡",삼선동2가 296,제2종일반,제2종일반,230.29%,25.87%,4/18,51.1,"1,223세대","1,015",208,17.01%,재개발(주택정비형),동북권,착공,2022.10.04,2025.05.31,서울특별시 주거정비과,2133-7232,성북구 주거정비과,2241-2863
삼호가든5차,정비사업,재건축(공동),서초구,"13,691.6 ㎡",반포동 30-1,제3종일반,제3종일반,-,-,-,-,317세대,271,46,14.51%,재건축(공동),동남권,건축심의,2024.02.13,2025.05.31,서울특별시 공동주택과,2133-7287,서초구 재건축사업과,2155-7345
삼환가락,정비사업,재건축(공동),송파구,"37,446.03 ㎡",가락동 176,제3종일반,제3종일반,299.86%,18.69%,4/35,104,"1,101세대",981,120,10.9%,재건축(공동),동남권,사업시행인가,2024.02.28,2025.05.31,서울특별시 공동주택과,2133-7148,송파구 주택사업과,2147-2896
삼환도봉,정비사업,신속통합기획,도봉구,"28,616 ㎡",도봉2동 87 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2024.04.15,2025.05.31,서울특별시 공동주택과,2133-7144,도봉구 재건축재개발과,2091-3403
