순번,자치구,구역명,위치,공공/민간,일반/재촉지구,사업유형,사업추진단계,기존 가구수(멸실량),최초,변경(최종),추진위원회,조합설립인가(사업시행자 지정일),건축심의,사업시행인가_최초,사업시행인가_변경(최종),관리처분계획인가_최초,관리처분계획인가_변경(최종),이주시작일,이주종료일,착공,세대총합계,분양,임대
105,성동구,성수전략2,성수동2가 506,민간,일반,주택정비형 재개발,조합설립,"2,339",2009-04-23,2011-02-17,2009-10-27,2020-03-06,,,,,,,,,"2,907","2,582",325
106,성동구,성수전략3,성수동2가 572-7,민간,일반,주택정비형 재개발,조합설립,"2,005",2009-04-23,2011-02-17,2009-10-27,2019-02-27,,,,,,,,,"1,852","1,537",315
107,성동구,성수전략4,성수동2가 219-4,민간,일반,주택정비형 재개발,조합설립,"1,602",2009-04-23,2011-02-17,2009-10-22,2016-07-25,,,,,,,,,"1,579","1,310",269
108,성동구,용답동,용답동 108-1,민간,일반,주택정비형 재개발,착공,"1,844",2007-09-27,2022-12-01,2006-07-30,2007-11-16,2015-08-01,2017-01-12,2024-05-13,2018-07-06,2024-04-04,2018-09-27,,2023-10-24,"1,670","1,365",305
109,성동구,행당7,행당동 128,민간,일반,주택정비형 재개발,착공,"1,570",2008-12-18,2009-03-05,2004-03-30,2012-07-27,2015-12-24,2016-12-29,2023-10-12,2019-08-30,2022-09-08,,2019-11-01,2021-09-06,958,768,190
110,성동구,금호16,금호동2가 501-31,민간,일반,주택정비형 재개발,관리처분,483,2007-07-12,2007-07-12,2005-09-30,2008-04-25,2008-02-25,2009-12-17,2024-01-04,2024-04-11,,,,,595,475,120
116,성동구,금호21구역,금호동3가 1번지 일대,민간,일반,주택정비형 재개발,구역지정,"1,741",2023-09-07,2023-09-07,,,,,,,,,,,"1,219",999,220
165,성북구,신월곡1,하월곡동 88-142,민간,재촉,도시정비형 재개발,관리처분,733,2009-01-02,2024-12-19,2006-04-07,2009-08-31,2017-06-20,2020-08-20,2023-07-27,2022-11-29,2023-12-08,2023-10-16,,,"2,206","2,009",197
166,성북구,신길음1,길음동 31-1,민간,재촉,도시정비형 재개발,건축심의,157,2010-04-15,2024-11-14,2008-01-30,2012-11-01,2024-03-04,,,,,,,,405,295,110
141,동대문구,장안현대,장안동 95-1,민간,일반,공동주택 재건축,사업시행,456,2017-09-14,2022-12-01,2018-06-12,2020-07-10,2022-06-14,2024-08-13,2024-08-13,,,,,,746,641,105
142,동대문구,제기1(경동미주아파트),제기동 892-68,민간,일반,공동주택 재건축,착공,234,2012-10-18,2018-12-27,2008-01-16,2019-05-30,2020-06-23,2021-04-01,2024-08-08,2023-04-13,,2023-07-15,2024-01-12,2025-03-31,351,306,45
167,성북구,신길음,길음동524-87,민간,재촉,도시정비형 재개발,사업시행,414,2007-06-09,2022-01-13,2006-03-31,,2023-09-27,2012-11-19,2019-11-07,,,,,,878,670,208
164,성북구,길음5,정릉동 175,민간,재촉,주택정비형 재개발,조합설립,466,2010-04-08,2023-04-20,2010-06-14,2019-08-19,,,,,,,,,808,660,148
168,성북구,장위14,장위동 233-552,민간,재촉,주택정비형 재개발,건축심의,"2,777",2008-04-03,2024-07-25,2008-05-30,2010-05-26,2023-08-29,,,,,,,,"2,439","2,000",439
169,성북구,장위15,장위동 233-42,민간,재촉,주택정비형 재개발,조합설립,"2,832",2008-04-03,2024-09-19,2010-07-09,2022-03-28,,,,,,,,,"3,317","2,560",757
170,성북구,장위10,장위동 68-37,민간,재촉,주택정비형 재개발,관리처분,"1,349",2008-04-03,2024-02-29,2008-04-23,2009-07-27,2024-07-02,2013-07-01,2021-08-18,2017-07-27,2023-07-06,2018-05-24,2021-12-01,,"1,931","1,590",341
171,성북구,장위3,장위동 305,민간,재촉,주택정비형 재개발,추진위,931,2008-04-03,2008-04-03,2004-09-10,,,,,,,,,,"1,078",894,184
172,성북구,장위6,장위동 25-55,민간,재촉,주택정비형 재개발,착공,"1,556",2008-04-03,2023-03-02,2006-08-08,2010-06-24,2014-03-11,2015-05-07,2023-08-11,2020-07-08,2024-05-03,2020-10-19,2021-12-30,2024-04-01,"1,637","1,352",285
173,성북구,보문5,보문동1가 196-11,민간,일반,주택정비형 재개발,착공,223,2010-06-10,2018-05-17,2005-10-21,2010-08-24,2017-11-07,2018-07-12,2023-09-04,2020-02-06,2023-05-18,2021-11-02,2021-11-02,2023-06-08,199,199,0
174,성북구,정릉골,정릉동 757,민간,일반,주택정비형 재개발,관리처분,"1,237",2012-08-02,2012-08-02,2014-06-24,2017-06-02,2020-03-24,2021-12-29,2021-12-29,2024-01-25,,2024-08-13,,,"1,411","1,411",0
152,동대문구,청량리 미주아파트,청량리동 235-1,민간,일반,공동주택 재건축,추진위,"1,089",2023-08-03,2023-08-03,2024-10-07,,,,,,,,,,"1,370","1,208",162
175,성북구,삼선5,삼선동2가 296,민간,일반,주택정비형 재개발,착공,"1,350",2009-06-04,2021-10-14,2005-06-04,2010-07-19,2013-07-23,2016-07-14,2024-08-30,2018-08-30,2021-05-14,2019-12-01,2020-03-31,2023-08-01,"1,223","1,015",208
176,성북구,동소문2,동소문동2가 33,민간,일반,주택정비형 재개발,조합설립,386,2002-04-23,2011-11-10,2006-03-22,2008-03-17,,,,,,,,,615,453,162
